context_small,context_large,word,prev,prev_fav,fol,fol_fav,frequency,freq_log_ppm,count,frequency_ppm,hapax,stress,fav_num
"quando auemos de ser llamados, ","inciertos quando auemos de ser llamados, viendo tan ciertas senale",llamados,r,no,a,yes,43.855161021532886,3.780892409076752,3,43.855161021532886,no,stressed,0
 lo mejor Calisto lo lleua. , la vejez. lo mejor Calisto lo lleua. no ay quien ponga virgos:,lleua,o,yes,e,yes,453.1699972225065,6.116267324893789,31,453.1699972225065,no,stressed,4
 quien apartarme mis plazeres? ,mi gloria? quien apartarme mis plazeres? Calisto es mi anima / mi ,plazeres,s,no,a,yes,116.94709605742102,4.761721662088479,8,116.94709605742102,no,stressed,0
 quien apartarme mis plazeres? ,mi gloria? quien apartarme mis plazeres? Calisto es mi anima / mi ,plazeres,s,no,a,yes,116.94709605742102,4.761721662088479,8,116.94709605742102,no,stressed,3
si rodear el mundo / lleueme c, el yre / si rodear el mundo / lleueme consigo. si venderme en ti,lleueme,/,no,e,yes,14.618387007177628,2.6822801204086426,1,14.618387007177628,yes,stressed,0
"mar, aquello sera su plazer: ","daremos tomar, aquello sera su plazer: aquello aura por bueno: q",plazer,u,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
"mar, aquello sera su plazer: ","daremos tomar, aquello sera su plazer: aquello aura por bueno: q",plazer,u,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
uando el otro dia le lleue l,hermana: quando el otro dia le lleue las nueuas deste triste ne,lleue,e,yes,e,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,0
uando el otro dia le lleue l,hermana: quando el otro dia le lleue las nueuas deste triste ne,lleue,e,yes,e,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,2
en nasciendo hazemos llorar: ,ficio que en nasciendo hazemos llorar: no me marauilla ser mas l,llorar,s,no,o,yes,306.98612715073017,5.726802558132065,21,306.98612715073017,no,stressed,13
en nasciendo hazemos llorar: ,ficio que en nasciendo hazemos llorar: no me marauilla ser mas l,llorar,s,no,o,yes,306.98612715073017,5.726802558132065,21,306.98612715073017,no,stressed,0
radas / mis ropas de plazer. ,gueras labradas / mis ropas de plazer. quiero aderezar lexia par,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
radas / mis ropas de plazer. ,gueras labradas / mis ropas de plazer. quiero aderezar lexia par,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
 alla hombre; quiero llamar. ,deue estar alla hombre; quiero llamar. tha. tha. AREU.--quien es,llamar,o,yes,a,yes,263.1309661291973,5.572651878304807,18,263.1309661291973,no,stressed,6
 alla hombre; quiero llamar. ,deue estar alla hombre; quiero llamar. tha. tha. AREU.--quien es,llamar,o,yes,a,yes,263.1309661291973,5.572651878304807,18,263.1309661291973,no,stressed,0
veate dios que tanto plazer m,mana mia: veate dios que tanto plazer me hazes en venir:como vie,plazer,o,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
veate dios que tanto plazer m,mana mia: veate dios que tanto plazer me hazes en venir:como vie,plazer,o,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
. ELIC.--a tu puerta llaman: , como a ti. ELIC.--a tu puerta llaman: poco espacio nos dan para,llaman,a,yes,a,yes,233.89419211484204,5.454868842648423,16,233.89419211484204,no,stressed,9
. ELIC.--a tu puerta llaman: , como a ti. ELIC.--a tu puerta llaman: poco espacio nos dan para,llaman,a,yes,a,yes,233.89419211484204,5.454868842648423,16,233.89419211484204,no,stressed,0
co / o priuado quien llama. ,ue o es loco / o priuado quien llama. SOS.--abreme senora / Sos,llama,n,no,a,yes,1257.1812826172759,7.13662741666215,86,1257.1812826172759,no,stressed,0
co / o priuado quien llama. ,ue o es loco / o priuado quien llama. SOS.--abreme senora / Sos,llama,n,no,a,yes,1257.1812826172759,7.13662741666215,86,1257.1812826172759,no,stressed,8
eras qual te lo paro lleno d,mento: e veras qual te lo paro lleno de viento de lisonjas: que,lleno,o,yes,e,yes,116.94709605742102,4.761721662088479,8,116.94709605742102,no,stressed,4
con esto haze oy tan claro d, Parmeno: con esto haze oy tan claro dia: que auias tu de venir,claro,n,no,a,yes,336.22290116508543,5.817774336337792,23,336.22290116508543,no,stressed,9
con esto haze oy tan claro d, Parmeno: con esto haze oy tan claro dia: que auias tu de venir,claro,n,no,a,yes,336.22290116508543,5.817774336337792,23,336.22290116508543,no,stressed,0
: como a el mismo me plazia d, de su amo: como a el mismo me plazia donde via su dano de Calis,plazia,e,yes,a,yes,14.618387007177628,2.6822801204086426,1,14.618387007177628,yes,stressed,1
